BANK STATEMENT|Keystone Retail Bank
ACCOUNT|018305280790277
CUSTOMER|IND23008112
PERIOD|2023-12-01|2024-05-31
OPENING_BALANCE|9205.13
CLOSING_BALANCE|8745.79
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2023-12-25|FEE-202312-83946|Withholding Tax|-47.54|withholding_tax|
2023-12-25|FEE-202312-28573|Service Fee|-129.05|service_fee|
2024-01-25|FEE-202401-45224|Bank Charge|-20.14|bank_charge|
2024-01-25|FEE-202401-76003|Withholding Tax|-12.42|withholding_tax|
2024-02-25|FEE-202402-40458|Bank Charge|-32.39|bank_charge|
2024-03-25|FEE-202403-42889|Cash Deposit Fee|-8.62|cash_deposit_fee|
2024-03-25|FEE-202403-61572|Service Fee|-92.74|service_fee|
2024-04-25|FEE-202404-13267|Service Fee|-5.20|service_fee|
2024-04-25|FEE-202404-49109|Withholding Tax|-18.98|withholding_tax|
2024-04-25|FEE-202404-61229|Cash Deposit Fee|-51.81|cash_deposit_fee|
2024-05-25|FEE-202405-80697|Withholding Tax|-40.45|withholding_tax|
