BANK STATEMENT|Keystone Retail Bank
ACCOUNT|249305280784918
CUSTOMER|IND23003047
PERIOD|2023-12-01|2024-05-31
OPENING_BALANCE|1239.50
CLOSING_BALANCE|664.01
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2023-12-25|FEE-202312-61651|Bank Charge|-94.98|bank_charge|
2023-12-25|FEE-202312-54848|Withholding Tax|-16.69|withholding_tax|
2024-01-25|FEE-202401-90584|Bank_Charge|-109.92|bank_charge|
2024-01-25|FEE-202401-98711|Withholding Tax|-32.81|withholding_tax|
2024-02-25|FEE-202402-94484|Service Fee|-79.81|service_fee|
2024-02-25|FEE-202402-64615|Cash_Deposit_Fee|-64.41|cash_deposit_fee|
2024-03-25|FEE-202403-39515|Service_Fee|-30.14|service_fee|
2024-04-25|FEE-202404-77680|Cash Deposit Fee|-62.31|cash_deposit_fee|
2024-04-25|FEE-202404-33347|Bank Charge|-89.19|bank_charge|
2024-05-25|FEE-202405-68191|Interest Income|4.77|interest_income|
