BANK STATEMENT|Keystone Retail Bank
ACCOUNT|250655010213771
CUSTOMER|COM20000047
PERIOD|2020-12-01|2021-02-28
OPENING_BALANCE|10873.80
CLOSING_BALANCE|-77522.22
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2020-12-01|202012333368678|Airtime via contactless|-178.05|transactional|MTX202012000013712
2020-12-01|202012674539141|Restaurants via online banking|-844.47|transactional|MTX202012000013713
2020-12-02|202012310171752|Transfer via mobile_banking_app|-1805.14|transactional|MTX202012000013714
2020-12-02|202012360124468|Alcohol via contactless|-371.68|transactional|MTX202012000013715
2020-12-02|202012440812845|Utilities via mobile banking app|-1907.88|transactional|MTX202012000013717
2020-12-03|202012118165272|Transfer via mobile banking app|-2372.12|transactional|MTX202012000013718
2020-12-03|202012607654970|Retail via pos|-1453.93|transactional|MTX202012000013720
2020-12-03|202012457212650|Groceries via contactless|-432.85|transactional|MTX202012000013719
2020-12-05|202012324159545|Fuel via mobile banking app|-1432.00|transactional|MTX202012000013721
2020-12-05|202012324159545|Fuel via mobile_banking_app|-1432.00|transactional|MTX202012000013721-DUP
2020-12-07|202012490930874|Retail via mobile banking app|-1410.22|transactional|MTX202012000013723
2020-12-07|202012999538286|Groceries via pos|-829.29|transactional|MTX202012000013724
2020-12-07|202012971171748|Groceries via mobile banking app|-1024.40|transactional|MTX202012000013725
2020-12-08|202012127448438|Transfer via mobile banking app|2222.51|transactional|MTX202012000013726
2020-12-10|202012924631569|Fuel via mobile_banking_app|-1634.14|transactional|MTX202012000013727
2020-12-10|202012331733120|Transfer via mobile_banking_app|-2657.30|transactional|MTX202012000013728
2020-12-10|202012427323732|Utilities via mobile banking app|-1695.77|transactional|MTX202012000013729
2020-12-11|202012274104081|Entertainment via contactless|-425.37|transactional|MTX202012000013730
2020-12-11|202012142634063|Utilities via online banking|-1468.56|transactional|MTX202012000013731
2020-12-13|202012672711496|Alcohol via contactless|-457.14|transactional|MTX202012000013733
2020-12-14|202012169175249|Restaurants via mobile banking app|-663.72|transactional|MTX202012000013734
2020-12-14|202012541882316|Fuel via pos|-1150.28|transactional|MTX202012000013735
2020-12-14|202012776772022|Fuel via pos|-1629.36|transactional|MTX202012000013736
2020-12-14|202012256685935|Utilities via online banking|-1559.08|transactional|MTX202012000013737
2020-12-14|202012730473204|Groceries via pos|-1003.15|transactional|MTX202012000013738
2020-12-14|202012388920972|Alcohol via ewallet|-553.40|transactional|MTX202012000013739
2020-12-15|202012588135836|Fuel via pos|-1514.44|transactional|MTX202012000013740
2020-12-15|202012286659886|Utilities via online banking|-1977.74|transactional|MTX202012000013741
2020-12-15|202012805274758|Retail via pos|-1018.35|transactional|MTX202012000013742
2020-12-15|202012695346445|Retail via contactless|-368.68|transactional|MTX202012000013743
2020-12-16|202012726671733|Airtime via pos|-206.46|transactional|MTX202012000013744
