statement_transaction_id,account_id,statement_date,posted_date,statement_description,bank_reference,statement_amount,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date,source_transaction_id
BST-ACC0021385-000001,ACC0021385,2020-12-02 05:23:46,2020-12-02,Retail via mobile_banking_app,202012399942090,-1076.07,transactional,False,,0,,MTX202012000014194
BST-ACC0021385-000002,ACC0021385,2020-12-02 06:18:37,2020-12-02,Groceries via mobile banking app,202012121259140,-799.33,transactional,False,,0,,MTX202012000014195
BST-ACC0021385-000003,ACC0021385,2020-12-02 10:17:14,2020-12-02,Airtime via mobile banking app,202012966086315,-136.85,transactional,False,,0,,MTX202012000014196
BST-ACC0021385-000004,ACC0021385,2020-12-03 05:31:02,2020-12-03,Transport via mobile banking app,202012517983251,-219.32,transactional,False,,0,,MTX202012000014197
BST-ACC0021385-000005,ACC0021385,2020-12-03 20:15:53,2020-12-03,Alcohol via mobile banking app,202012577770504,-849.66,transactional,False,,0,,MTX202012000014198
BST-ACC0021385-000006,ACC0021385,2020-12-04 19:45:11,2020-12-04,Alcohol via mobile_banking_app,202012965401549,-426.09,transactional,False,,0,,MTX202012000014199
BST-ACC0021385-000007,ACC0021385,2020-12-04 22:59:39,2020-12-04,Transfer via mobile banking app,202012850837676,-2034.66,transactional,False,,0,,MTX202012000014200
BST-ACC0021385-000008,ACC0021385,2020-12-05 10:55:10,2020-12-05,Restaurants via atm,202012830636860,-662.01,transactional,False,,0,,MTX202012000014201
BST-ACC0021385-000009,ACC0021385,2020-12-05 12:24:31,2020-12-05,Retail via mobile banking app,202012394198169,-1230.57,transactional,False,,0,,MTX202012000014202
BST-ACC0021385-000010,ACC0021385,2020-12-07 19:38:14,2020-12-07,Restaurants via contactless,202012293344986,-476.45,transactional,False,,0,,MTX202012000014203
BST-ACC0021385-000011,ACC0021385,2020-12-07 21:34:09,2020-12-07,Airtime via mobile_banking_app,202012160797602,-171.95,transactional,False,,0,,MTX202012000014204
BST-ACC0021385-000012,ACC0021385,2020-12-07 22:11:32,2020-12-07,Airtime via mobile banking app,202012531028584,-130.19,transactional,False,,0,,MTX202012000014205
BST-ACC0021385-000013,ACC0021385,2020-12-08 12:36:50,2020-12-08,Groceries via pos,202012731952670,-813.07,transactional,False,,0,,MTX202012000014206
BST-ACC0021385-000014,ACC0021385,2020-12-08 22:32:36,2020-12-08,Airtime via online banking,202012613729494,-136.43,transactional,False,,0,,MTX202012000014207
BST-ACC0021385-000015,ACC0021385,2020-12-08 22:36:39,2020-12-08,Airtime via online_banking,202012613729494,-136.43,transactional,False,,0,,MTX202012000014207-DUP
BST-ACC0021385-000016,ACC0021385,2020-12-09 05:32:48,2020-12-09,Transfer via mobile banking app,202012246847475,-2450.03,transactional,False,,0,,MTX202012000014208
BST-ACC0021385-000017,ACC0021385,2020-12-10 01:21:25,2020-12-10,Retail via mobile banking app,202012654067490,-664.01,transactional,False,,0,,MTX202012000014209
BST-ACC0021385-000018,ACC0021385,2020-12-10 08:36:10,2020-12-10,Utilities via mobile_banking_app,202012926895722,-1568.05,transactional,False,,0,,MTX202012000014211
BST-ACC0021385-000019,ACC0021385,2020-12-10 09:22:58,2020-12-10,Transfer via online banking,202012124306087,-1398.51,transactional,False,,0,,MTX202012000014210
BST-ACC0021385-000020,ACC0021385,2020-12-10 12:12:20,2020-12-10,Retail via contactless,202012639529314,-484.79,transactional,False,,0,,MTX202012000014212
BST-ACC0021385-000021,ACC0021385,2020-12-11 12:17:16,2020-12-11,Retail via mobile_banking_app,202012131345070,-981.5,transactional,False,,0,,MTX202012000014213
BST-ACC0021385-000022,ACC0021385,2020-12-12 18:02:18,2020-12-12,Retail via mobile banking app,202012502780820,-914.48,transactional,False,,0,,MTX202012000014215
BST-ACC0021385-000023,ACC0021385,2020-12-12 18:09:45,2020-12-12,Retail via atm,202012698811433,-1163.07,transactional,False,,0,,MTX202012000014214
BST-ACC0021385-000024,ACC0021385,2020-12-13 12:08:29,2020-12-13,Restaurants via ewallet,202012985843304,-600.72,transactional,False,,0,,MTX202012000014216
BST-ACC0021385-000025,ACC0021385,2020-12-13 17:46:01,2020-12-13,Entertainment via pos,202012268306249,-660.62,transactional,False,,0,,MTX202012000014217
BST-ACC0021385-000026,ACC0021385,2020-12-14 09:24:44,2020-12-14,Transfer via mobile banking app,202012669520762,-2286.76,transactional,False,,0,,MTX202012000014218
BST-ACC0021385-000027,ACC0021385,2020-12-14 11:20:58,2020-12-14,Transfer via mobile_banking_app,202012330416458,-2092.7,transactional,False,,0,,MTX202012000014219
BST-ACC0021385-000028,ACC0021385,2020-12-14 13:26:09,2020-12-14,Groceries via contactless,202012776763124,-372.28,transactional,False,,0,,MTX202012000014220
BST-ACC0021385-000029,ACC0021385,2020-12-14 20:38:04,2020-12-14,Entertainment via ewallet,202012601985039,-583.95,transactional,False,,0,,MTX202012000014221
BST-ACC0021385-000030,ACC0021385,2020-12-15 12:14:57,2020-12-15,Groceries via contactless,202012464293681,-431.12,transactional,False,,0,,MTX202012000014222
BST-ACC0021385-000031,ACC0021385,2020-12-16 08:25:59,2020-12-16,Utilities via online_banking,202012209753407,-1806.23,transactional,False,,0,,MTX202012000014223
BST-ACC0021385-000032,ACC0021385,2020-12-16 20:19:21,2020-12-16,Retail via online_banking,202012348650083,-716.45,transactional,False,,0,,MTX202012000014224
BST-ACC0021385-000033,ACC0021385,2020-12-17 07:50:09,2020-12-17,Transport via contactless,202012517915968,-241.42,transactional,False,,0,,MTX202012000014225
BST-ACC0021385-000034,ACC0021385,2020-12-17 10:32:19,2020-12-17,Utilities via online_banking,202012590304478,-1323.4,transactional,False,,0,,MTX202012000014226
BST-ACC0021385-000035,ACC0021385,2020-12-18 08:35:42,2020-12-18,Utilities via online banking,202012290268327,-1795.87,transactional,False,,0,,MTX202012000014227
BST-ACC0021385-000036,ACC0021385,2020-12-18 10:39:31,2020-12-18,Utilities via mobile_banking_app,202012614117377,-1313.32,transactional,False,,0,,MTX202012000014228
BST-ACC0021385-000037,ACC0021385,2020-12-18 12:08:00,2020-12-18,Groceries via ewallet,202012967275717,-979.65,transactional,False,,0,,MTX202012000014229
BST-ACC0021385-000038,ACC0021385,2020-12-18 12:28:10,2020-12-18,Groceries via contactless,202012513974430,-410.76,transactional,False,,0,,MTX202012000014230
BST-ACC0021385-000039,ACC0021385,2020-12-18 18:39:22,2020-12-18,Restaurants via atm,202012985146649,-458.58,transactional,False,,0,,MTX202012000014231
BST-ACC0021385-000040,ACC0021385,2020-12-18 21:02:15,2020-12-18,Transfer via mobile banking app,202012156609165,-2541.58,transactional,False,,0,,MTX202012000014232
BST-ACC0021385-000041,ACC0021385,2020-12-20 15:41:38,2020-12-20,Retail via pos,202012938041214,-991.15,transactional,False,,0,,MTX202012000014233
BST-ACC0021385-000042,ACC0021385,2020-12-21 06:30:16,2020-12-21,Airtime via contactless,202012380962242,-163.9,transactional,False,,0,,MTX202012000014234
BST-ACC0021385-000043,ACC0021385,2020-12-21 18:51:37,2020-12-21,Alcohol via ewallet,202012611992642,-355.7,transactional,False,,0,,MTX202012000014235
BST-ACC0021385-000044,ACC0021385,2020-12-21 21:48:59,2020-12-21,Transfer via mobile banking app,202012279966811,-2664.42,transactional,False,,0,,MTX202012000014236
BST-ACC0021385-000045,ACC0021385,2020-12-22 05:44:49,2020-12-22,Transport via mobile_banking_app,202012912561800,-205.32,transactional,False,,0,,MTX202012000014237
BST-ACC0021385-000046,ACC0021385,2020-12-22 22:01:55,2020-12-22,Airtime via mobile banking app,202012121506454,-148.24,transactional,False,,0,,MTX202012000014238
BST-ACC0021385-000047,ACC0021385,2020-12-23 22:11:26,2020-12-23,Utilities via online banking,202012241444135,-1521.31,transactional,False,,0,,MTX202012000014239
BST-ACC0021385-000048,ACC0021385,2020-12-24 07:59:01,2020-12-24,Transport via pos,202012972091860,-262.81,transactional,False,,0,,MTX202012000014240
BST-ACC0021385-000049,ACC0021385,2020-12-24 10:41:25,2020-12-24,Airtime via mobile banking app,202012699465698,-143.46,transactional,False,,0,,MTX202012000014241
BST-ACC0021385-000050,ACC0021385,2020-12-25 09:07:27,2020-12-25,Transfer via mobile banking app,202012108782398,-2115.13,transactional,False,,0,,MTX202012000014242
BST-ACC0021385-000051,ACC0021385,2020-12-25 12:06:02,2020-12-25,Retail via mobile banking app,202012345742192,-1404.79,transactional,False,,0,,MTX202012000014243
BST-ACC0021385-000066,ACC0021385,2020-12-25 12:15:00,2020-12-25,Withholding_Tax,FEE-202012-24371,-22.22,withholding_tax,True,bank_generated_non_transactional_entry,0,,
BST-ACC0021385-000052,ACC0021385,2020-12-26 17:07:55,2020-12-26,Alcohol via contactless,202012247539484,-453.55,transactional,False,,0,,MTX202012000014244
BST-ACC0021385-000053,ACC0021385,2020-12-26 17:42:51,2020-12-26,Restaurants via ewallet,202012517672011,-776.49,transactional,False,,0,,MTX202012000014245
BST-ACC0021385-000054,ACC0021385,2020-12-27 12:17:31,2020-12-27,Fuel via atm,202012662517937,-1211.72,transactional,False,,0,,MTX202012000014246
BST-ACC0021385-000055,ACC0021385,2020-12-27 18:39:25,2020-12-27,Alcohol via pos,202012130880646,-379.23,transactional,False,,0,,MTX202012000014247
BST-ACC0021385-000056,ACC0021385,2020-12-28 05:47:04,2020-12-28,Transfer via mobile banking app,202012161945420,-2514.6,transactional,False,,0,,MTX202012000014248
BST-ACC0021385-000057,ACC0021385,2020-12-28 07:48:20,2020-12-28,Internal transfer - Utility Bill,202012615725760,-1683.68,transactional,False,,0,,MTX202012000000102
BST-ACC0021385-000058,ACC0021385,2020-12-28 12:33:55,2020-12-28,Restaurants via pos,202012889842439,-601.14,transactional,False,,0,,MTX202012000014249
BST-ACC0021385-000059,ACC0021385,2020-12-28 12:47:44,2020-12-28,Restaurants via mobile banking app,202012586708527,-516.59,transactional,False,,0,,MTX202012000014250
BST-ACC0021385-000060,ACC0021385,2020-12-29 05:24:39,2020-12-29,Internal transfer - Payroll,202012754918493,-21116.34,transactional,False,,0,,MTX202012000000142
BST-ACC0021385-000061,ACC0021385,2020-12-29 09:22:26,2020-12-29,Transfer via mobile_banking_app,202012663663676,-1708.88,transactional,False,,0,,MTX202012000014251
