suggestion_id,account_id,customer_id,channel,timestamp,suggestion_text,category,status
SUG-202502-00001,ACC0027312,IND21009438,chatbot,2025-02-03T16:14:35+02:00,A monthly fee breakdown would make the statement easier to understand.,fees,implemented
SUG-202502-00002,ACC0043532,IND22003146,branch_visit,10/02/2025 08:15,Please add a simple way to see pending debit orders before month end.,digital_features,reviewed
SUG-202502-00003,ACC0056427,COM22000284,chatbot,2025-02-26T12:27:55+02:00,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202502-00004,ACC0077248,IND23011688,whatsapp,11-Feb-2025 09:00,Please add better card freeze and unfreeze controls in the app.,digital_features,submitted
SUG-202502-00005,ACC0093269,IND24024757,app_message,2025-02-19T18:57:44+02:00,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202502-00006,ACC0038670,IND22006801,whatsapp,11-Feb-2025 10:03,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202502-00007,ACC0095600,IND24004298,app_message,2025-02-02T18:06:37+02:00,Please send clearer notifications when account details change.,other,reviewed
SUG-202502-00008,ACC0045141,IND22004239,chatbot,2025-02-12T20:22:16+02:00,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,reviewed
SUG-202502-00009,ACC0046674,IND22011532,whatsapp,24-Feb-2025 18:32,It would be useful to have a low-cost account for family remittances.,product_idea,submitted
SUG-202502-00010,ACC0004215,IND19011565,email,2025-02-20 19:36:08,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202502-00011,ACC0052425,IND22006071,branch_visit,01/02/2025 13:05,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202502-00012,ACC0097232,COM24000073,phone_call,21/02/2025 14:15,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,reviewed
SUG-202502-00013,ACC0076012,IND23022294,phone_call,06/02/2025 09:09,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,reviewed
SUG-202502-00014,ACC0074864,IND23016107,chatbot,2025-02-07T16:12:28+02:00,Please make statements easier to download for tax and rental applications.,other,submitted
SUG-202502-00015,ACC0063120,IND23011973,branch_visit,09/02/2025 15:05,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,submitted
