transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system
TXNL202000000001,ACC0001282,IND19007129,LN2019010000002,,19,2020-08-14,04:42:13,1592.74,Debit,Failed,mandate_limit,Loan Payment - LN2019010000002,False,,2.5,,Online,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000002,ACC0000071,IND19001466,LN2019010000009,LDO20200000001,19,2020-08-31,04:10:31,2024.12,Debit,Completed,,Loan Payment - LN2019010000009,False,,0.21,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000003,ACC0001490,IND19011784,LN2019010000010,LDO20200000001,19,2020-08-23,02:28:03,2454.22,Debit,Completed,,Loan Payment - LN2019010000010,False,,1.49,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000004,ACC0000278,IND19005139,LN2019010000015,LDO20200000001,19,2020-08-29,02:53:34,2472.86,Debit,Completed,,Loan Payment - LN2019010000015,False,,1.71,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202000000005,ACC0000597,IND19000749,LN2019010000017,LDO20200000002,19,2020-08-22,03:48:09,1458.14,Debit,Completed,,Loan Payment - LN2019010000017,False,,1.96,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000006,ACC0000731,IND19012784,LN2019010000018,LDO20200000001,19,2020-08-30,04:40:29,4603.72,Debit,Completed,,Loan Payment - LN2019010000018,False,,0.61,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000007,ACC0000999,IND19000704,LN2019010000021,LDO20200000003,19,2020-08-30,04:43:15,1106.27,Debit,Completed,,Loan Payment - LN2019010000021,False,,1.69,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000008,ACC0000362,IND19010400,LN2019010000034,LDO20200000002,19,2020-08-20,03:53:08,1585.16,Debit,Completed,,Loan Payment - LN2019010000034,False,,1.75,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000009,ACC0000761,IND19003341,LN2019010000037,LDO20200000004,18,2020-08-10,03:10:45,1929.69,Debit,Completed,,Loan Payment - LN2019010000037,False,,1.24,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202000000010,ACC0000661,IND19013332,LN2019010000040,LDO20200000005,19,2020-08-25,02:36:15,3565.48,Debit,Completed,,Loan Payment - LN2019010000040,False,,0.2,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
