BANK STATEMENT|Keystone Retail Bank
ACCOUNT|018505030566721
CUSTOMER|IND22002183
PERIOD|2022-12-01|2023-05-31
OPENING_BALANCE|1217.84
CLOSING_BALANCE|415.80
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2022-12-25|FEE-202212-80145|Cash Deposit Fee|-54.18|cash_deposit_fee|
2022-12-25|FEE-202212-72835|Service Fee|-119.51|service_fee|
2022-12-25|FEE-202212-30277|Withholding Tax|-9.48|withholding_tax|
2023-01-25|FEE-202301-62496|Cash Deposit Fee|-66.50|cash_deposit_fee|
2023-01-25|FEE-202301-41979|Bank Charge|-127.93|bank_charge|
2023-02-25|FEE-202302-71543|Interest Income|0.66|interest_income|
2023-02-25|FEE-202302-57318|Service Fee|-36.17|service_fee|
2023-03-25|FEE-202303-63834|Bank_Charge|-45.94|bank_charge|
2023-03-25|FEE-202303-78535|Interest_Income|4.34|interest_income|
2023-03-25|FEE-202303-52814|Service Fee|-128.09|service_fee|
2023-04-25|FEE-202304-68868|Withholding Tax|-12.42|withholding_tax|
2023-05-25|FEE-202305-49106|Service_Fee|-107.76|service_fee|
2023-05-25|FEE-202305-97815|Cash Deposit Fee|-99.06|cash_deposit_fee|
