BANK STATEMENT|Keystone Retail Bank
ACCOUNT|050910270565467
CUSTOMER|IND22012877
PERIOD|2022-12-01|2023-05-31
OPENING_BALANCE|3136.34
CLOSING_BALANCE|-23550.35
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2022-12-01|202212152916570|Fuel via mobile banking app|-534.24|transactional|MTX202212000018586
2022-12-01|202212985925380|Transfer via mobile banking app|-1215.51|transactional|MTX202212000018587
2022-12-01|202212864568696|Retail via mobile banking app|-968.25|transactional|MTX202212000018589
2022-12-01|202212508545121|Restaurants via pos|-594.88|transactional|MTX202212000018588
2022-12-01|202212595345958|Transfer via mobile banking app|-834.86|transactional|MTX202212000018590
2022-12-02|202212279652629|Entertainment via mobile banking app|-202.49|transactional|MTX202212000018591
2022-12-02|202212991747525|Transport via mobile_banking_app|-44.83|transactional|MTX202212000018592
2022-12-04|202212772701112|Restaurants via contactless|-424.64|transactional|MTX202212000018593
2022-12-04|202212179628810|Retail via mobile banking app|-898.37|transactional|MTX202212000018595
2022-12-04|202212269313433|Entertainment via contactless|-293.13|transactional|MTX202212000018594
2022-12-05|202212635246250|Entertainment via mobile banking app|-227.20|transactional|MTX202212000018597
2022-12-05|202212731315507|Fuel via mobile banking app|-722.33|transactional|MTX202212000018598
2022-12-05|202212960082675|Retail via pos|-532.41|transactional|MTX202212000018596
2022-12-05|202212127314436|Alcohol via mobile banking app|-144.06|transactional|MTX202212000018600
2022-12-05|202212480157996|Restaurants via contactless|-393.82|transactional|MTX202212000018599
2022-12-06|202212663813477|Transport via mobile banking app|-186.24|transactional|MTX202212000018601
2022-12-06|202212195532000|Airtime via pos|-49.72|transactional|MTX202212000018602
2022-12-06|202212147779296|Entertainment via mobile banking app|-345.23|transactional|MTX202212000018603
2022-12-06|202212713902456|Transfer via ussd|-518.45|transactional|MTX202212000018604
2022-12-07|202212243260355|Alcohol via mobile_banking_app|-222.79|transactional|MTX202212000018605
2022-12-07|202212450148278|Groceries via online banking|-381.34|transactional|MTX202212000018606
2022-12-08|202212336508490|Fuel via mobile banking app|-966.43|transactional|MTX202212000018607
2022-12-09|202212339984986|Transfer via mobile banking app|1387.94|transactional|MTX202212000018608
2022-12-09|202212127508537|Groceries via atm|-503.86|transactional|MTX202212000018609
2022-12-09|202212702641125|Transfer via mobile banking app|-1461.59|transactional|MTX202212000018610
2022-12-10|202212819229543|Fuel via pos|-513.52|transactional|MTX202212000018611
2022-12-10|202212983667725|Retail via atm|-532.76|transactional|MTX202212000018612
2022-12-10|202212116763951|Entertainment via ewallet|-269.64|transactional|MTX202212000018613
2022-12-11|202212603021190|Restaurants via atm|-248.98|transactional|MTX202212000018616
2022-12-11|202212173708235|Retail via mobile_banking_app|-210.13|transactional|MTX202212000018614
2022-12-12|202212576149611|Retail via pos|-780.39|transactional|MTX202212000018615
2022-12-12|202212458523024|Restaurants via ewallet|-150.67|transactional|MTX202212000018617
2022-12-13|202212678199238|Transfer via mobile_banking_app|1368.55|transactional|MTX202212000018618
