BANK STATEMENT|Keystone Retail Bank
ACCOUNT|198765020569583
CUSTOMER|IND22001858
PERIOD|2022-12-01|2023-05-31
OPENING_BALANCE|7743.85
CLOSING_BALANCE|7108.97
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2022-12-25|FEE-202212-31317|Withholding_Tax|-37.38|withholding_tax|
2023-01-25|FEE-202301-69534|Interest_Income|7.32|interest_income|
2023-01-25|FEE-202301-61821|Service Fee|-78.05|service_fee|
2023-01-25|FEE-202301-79482|Bank Charge|-8.84|bank_charge|
2023-02-25|FEE-202302-61331|Cash_Deposit_Fee|-39.80|cash_deposit_fee|
2023-02-25|FEE-202302-94545|Bank Charge|-6.80|bank_charge|
2023-03-25|FEE-202303-31173|Service_Fee|-6.46|service_fee|
2023-03-25|FEE-202303-59556|Interest Income|2.89|interest_income|
2023-04-25|FEE-202304-98994|Bank_Charge|-89.79|bank_charge|
2023-04-25|FEE-202304-31974|Service Fee|-138.74|service_fee|
2023-04-25|FEE-202304-40141|Cash Deposit Fee|-59.13|cash_deposit_fee|
2023-05-25|FEE-202305-61065|Bank Charge|-125.95|bank_charge|
2023-05-25|FEE-202305-99744|Cash_Deposit_Fee|-54.15|cash_deposit_fee|
