transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system
TXNL202400000001,ACC0001282,IND19007129,LN2019010000002,LDO20240000001,69,2024-10-14,04:04:46,968.92,Debit,Completed,,Loan Payment - LN2019010000002 - Partial,False,,1.41,,Automated,Home Loan,partial_payment,False,loan_payment_generator
TXNL202400000002,ACC0000071,IND19001466,LN2019010000009,LDO20240000001,69,2024-10-31,04:29:59,2024.12,Debit,Completed,,Loan Payment - LN2019010000009,False,,1.38,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000003,ACC0001490,IND19011784,LN2019010000010,LDO20240000002,69,2024-10-23,02:55:26,2454.22,Debit,Completed,,Loan Payment - LN2019010000010,False,,0.3,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000004,ACC0000278,IND19005139,LN2019010000015,LDO20240000001,69,2024-10-29,03:07:46,2472.86,Debit,Completed,,Loan Payment - LN2019010000015,False,,1.26,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202400000005,ACC0000597,IND19000749,LN2019010000017,LDO20240000003,69,2024-10-22,03:50:12,1458.14,Debit,Completed,,Loan Payment - LN2019010000017,False,,0.78,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000006,ACC0000731,IND19012784,LN2019010000018,LDO20240000002,69,2024-10-30,03:14:13,4603.72,Debit,Completed,,Loan Payment - LN2019010000018,False,,1.14,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000007,ACC0000999,IND19000704,LN2019010000021,LDO20240000004,69,2024-10-30,03:54:32,1106.27,Debit,Completed,,Loan Payment - LN2019010000021,False,,0.04,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000008,ACC0000362,IND19010400,LN2019010000034,LDO20240000005,69,2024-10-20,02:21:54,1238.86,Debit,Completed,,Loan Payment - LN2019010000034 - Partial,False,,0.84,,Automated,Home Loan,partial_payment,False,loan_payment_generator
TXNL202400000009,ACC0000761,IND19003341,LN2019010000037,LDO20240000001,68,2024-10-10,03:23:08,1929.69,Debit,Completed,,Loan Payment - LN2019010000037,False,,0.47,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000010,ACC0000093,IND19006568,LN2019010000071,LDO20240000002,69,2024-10-13,04:45:29,1850.78,Debit,Completed,,Loan Payment - LN2019010000071,False,,0.67,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000011,ACC0001439,IND19009694,LN2019010000095,LDO20240000010,69,2024-10-18,02:00:57,1221.56,Debit,Completed,,Loan Payment - LN2019010000095,False,,1.88,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202400000012,ACC0000263,IND19010479,LN2019010000097,LDO20240000006,69,2024-10-14,02:12:51,5630.01,Debit,Completed,,Loan Payment - LN2019010000097,False,,0.7,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000013,ACC0000410,IND19006375,LN2019010000101,LDO20240000011,69,2024-10-22,03:33:56,907.14,Debit,Completed,,Loan Payment - LN2019010000101,False,,1.2,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000014,ACC0000187,IND19005404,LN2019010000103,LDO20240000007,69,2024-10-29,03:08:36,797.25,Debit,Failed,insufficient_funds,Loan Payment - LN2019010000103 - Partial,False,,0.6,,Automated,Home Loan,partial_payment,False,loan_payment_generator
TXNL202400000015,ACC0000365,IND19005374,LN2019010000112,LDO20240000012,69,2024-10-20,02:50:24,9497.71,Debit,Completed,,Loan Payment - LN2019010000112,False,,0.44,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000016,ACC0000066,IND19000708,LN2019010000114,LDO20240000013,69,2024-10-24,04:57:51,3062.01,Debit,Completed,,Loan Payment - LN2019010000114,False,,0.64,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202400000017,ACC0000812,IND19000596,LN2019010000123,LDO20240000016,68,2024-10-08,04:04:07,3065.36,Debit,Completed,,Loan Payment - LN2019010000123,False,,1.48,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000018,ACC0000726,IND19012497,LN2019010000124,LDO20240000017,69,2024-10-13,02:58:40,371.99,Debit,Completed,,Loan Payment - LN2019010000124,False,,1.89,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000019,ACC0000615,IND19010153,LN2019010000152,LDO20240000020,69,2024-10-20,02:39:06,3016.9,Debit,Completed,,Loan Payment - LN2019010000152,False,,0.32,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000020,ACC0000626,IND19000516,LN2019010000160,LDO20240000022,69,2024-10-27,02:38:06,2189.1,Debit,Completed,,Loan Payment - LN2019010000160,False,,1.21,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000021,ACC0001092,IND19002621,LN2019010000162,LDO20240000023,69,2024-10-27,02:17:01,1579.38,Debit,Completed,,Loan Payment - LN2019010000162,False,,0.63,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202400000022,ACC0001221,IND19011832,LN2019010000190,LDO20240000025,69,2024-10-15,04:13:41,5061.94,Debit,Completed,,Loan Payment - LN2019010000190,False,,1.47,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000023,ACC0000708,IND19015529,LN2019010000217,LDO20240000009,69,2024-10-27,03:55:26,1520.07,Debit,Failed,mandate_limit,Loan Payment - LN2019010000217,False,,0.8,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000024,ACC0001510,IND19016623,LN2019010000221,LDO20240000005,69,2024-10-19,03:25:12,4093.97,Debit,Completed,,Loan Payment - LN2019010000221,False,,0.42,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000025,ACC0001340,IND19008807,LN2019010000234,LDO20240000001,69,2024-10-31,04:00:49,1707.41,Debit,Completed,,Loan Payment - LN2019010000234,False,,0.24,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202400000026,ACC0001291,IND19005742,LN2019010000238,LDO20240000030,69,2024-10-17,04:29:35,1155.73,Debit,Completed,,Loan Payment - LN2019010000238,False,,0.08,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202400000027,ACC0000295,IND19012061,LN2019010000258,LDO20240000031,69,2024-10-17,02:32:21,1803.51,Debit,Completed,,Loan Payment - LN2019010000258,False,,0.86,,Automated,Home Loan,standard_payment,False,loan_payment_generator
