reconciliation_run_id,account_id,customer_id,bank_name,account_number,statement_timeframe_months,period_start,period_end,opening_balance,closing_balance,statement_transaction_count,ledger_transaction_count,statement_pdf_path,statement_source_format,statement_source_file_path
RECON-202312-ACC0078309-3M,ACC0078309,IND23005368,Keystone Retail Bank,172105270783095,3,2023-12-01,2024-02-29 23:59:59,14018.6,13667.52,6,0,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078309_202312_202402_3M_statement.pdf,TXT,reconciliation_analysis\2023\bank_statement_source_files\txt\ACC0078309_202312_202402_3M_statement.txt
RECON-202312-ACC0078310-6M,ACC0078310,IND23004167,Keystone Retail Bank,430010010783108,6,2023-12-01,2024-05-31 23:59:59,4905.4,-22984.0,77,67,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078310_202312_202405_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2023\bank_statement_source_files\iso20022_camt053_xml\ACC0078310_202312_202405_6M_statement.xml
RECON-202312-ACC0078311-3M,ACC0078311,IND23004660,Keystone Retail Bank,255005020783115,3,2023-12-01,2024-02-29 23:59:59,1309.62,-12642.59,49,44,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078311_202312_202402_3M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2023\bank_statement_source_files\iso20022_camt053_xml\ACC0078311_202312_202402_3M_statement.xml
RECON-202312-ACC0078312-3M,ACC0078312,IND23013824,Keystone Retail Bank,255355270783122,3,2023-12-01,2024-02-29 23:59:59,7079.29,-31762.92,85,83,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078312_202312_202402_3M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2023\bank_statement_source_files\iso20022_camt053_xml\ACC0078312_202312_202402_3M_statement.xml
RECON-202312-ACC0078313-6M,ACC0078313,IND23006674,Keystone Retail Bank,050310280783137,6,2023-12-01,2024-05-31 23:59:59,4772.29,-2025.2,50,40,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078313_202312_202405_6M_statement.pdf,TXT,reconciliation_analysis\2023\bank_statement_source_files\txt\ACC0078313_202312_202405_6M_statement.txt
RECON-202312-ACC0078314-6M,ACC0078314,IND23014068,Keystone Retail Bank,121317020783148,6,2023-12-01,2024-05-31 23:59:59,543.55,-18175.64,94,84,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078314_202312_202405_6M_statement.pdf,TXT,reconciliation_analysis\2023\bank_statement_source_files\txt\ACC0078314_202312_202405_6M_statement.txt
RECON-202312-ACC0078315-6M,ACC0078315,IND23007254,Keystone Retail Bank,245705280783155,6,2023-12-01,2024-05-31 23:59:59,769.78,-26780.94,75,65,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078315_202312_202405_6M_statement.pdf,CSV,reconciliation_analysis\2023\bank_statement_source_files\csv\ACC0078315_202312_202405_6M_statement.csv
RECON-202312-ACC0078316-6M,ACC0078316,IND23007254,Keystone Retail Bank,245705020783164,6,2023-12-01,2024-05-31 23:59:59,10318.14,9846.11,8,0,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078316_202312_202405_6M_statement.pdf,CSV,reconciliation_analysis\2023\bank_statement_source_files\csv\ACC0078316_202312_202405_6M_statement.csv
RECON-202312-ACC0078317-3M,ACC0078317,IND23005247,Keystone Retail Bank,250955010783171,3,2023-12-01,2024-02-29 23:59:59,11371.96,-25604.17,71,66,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078317_202312_202402_3M_statement.pdf,TXT,reconciliation_analysis\2023\bank_statement_source_files\txt\ACC0078317_202312_202402_3M_statement.txt
RECON-202312-ACC0078318-6M,ACC0078318,IND23001682,Keystone Retail Bank,060110270783184,6,2023-12-01,2024-05-31 23:59:59,8483.64,-60126.69,86,74,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078318_202312_202405_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2023\bank_statement_source_files\iso20022_camt053_xml\ACC0078318_202312_202405_6M_statement.xml
RECON-202312-ACC0078319-6M,ACC0078319,IND23004854,Keystone Retail Bank,150105010783199,6,2023-12-01,2024-05-31 23:59:59,3377.78,2507.08,13,0,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078319_202312_202405_6M_statement.pdf,CSV,reconciliation_analysis\2023\bank_statement_source_files\csv\ACC0078319_202312_202405_6M_statement.csv
RECON-202312-ACC0078320-3M,ACC0078320,IND23014058,Keystone Retail Bank,188205280783205,3,2023-12-01,2024-02-29 23:59:59,13091.25,-867.75,75,70,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078320_202312_202402_3M_statement.pdf,TXT,reconciliation_analysis\2023\bank_statement_source_files\txt\ACC0078320_202312_202402_3M_statement.txt
RECON-202312-ACC0078321-6M,ACC0078321,IND23010166,Keystone Retail Bank,018505270783211,6,2023-12-01,2024-05-31 23:59:59,1727.77,737.42,12,0,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078321_202312_202405_6M_statement.pdf,TXT,reconciliation_analysis\2023\bank_statement_source_files\txt\ACC0078321_202312_202405_6M_statement.txt
RECON-202312-ACC0078322-6M,ACC0078322,IND23001263,Keystone Retail Bank,050310270783227,6,2023-12-01,2024-05-31 23:59:59,1101.0,357.73,12,0,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078322_202312_202405_6M_statement.pdf,CSV,reconciliation_analysis\2023\bank_statement_source_files\csv\ACC0078322_202312_202405_6M_statement.csv
RECON-202312-ACC0078323-6M,ACC0078323,IND23007079,Keystone Retail Bank,060110010783237,6,2023-12-01,2024-05-31 23:59:59,1943.23,-14628.18,60,51,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078323_202312_202405_6M_statement.pdf,TXT,reconciliation_analysis\2023\bank_statement_source_files\txt\ACC0078323_202312_202405_6M_statement.txt
RECON-202312-ACC0078324-3M,ACC0078324,IND23002707,Keystone Retail Bank,632005010783241,3,2023-12-01,2024-02-29 23:59:59,3964.83,-12554.2,75,70,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078324_202312_202402_3M_statement.pdf,CSV,reconciliation_analysis\2023\bank_statement_source_files\csv\ACC0078324_202312_202402_3M_statement.csv
RECON-202312-ACC0078326-3M,ACC0078326,IND23006807,Keystone Retail Bank,470010030783264,3,2023-12-01,2024-02-29 23:59:59,13001.91,-12574.84,71,68,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078326_202312_202402_3M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2023\bank_statement_source_files\iso20022_camt053_xml\ACC0078326_202312_202402_3M_statement.xml
RECON-202312-ACC0078327-6M,ACC0078327,IND23004015,Keystone Retail Bank,250655010783272,6,2023-12-01,2024-05-31 23:59:59,935.81,-28032.35,67,54,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078327_202312_202405_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2023\bank_statement_source_files\iso20022_camt053_xml\ACC0078327_202312_202405_6M_statement.xml
RECON-202312-ACC0078328-3M,ACC0078328,IND23005145,Keystone Retail Bank,164605020783283,3,2023-12-01,2024-02-29 23:59:59,3196.45,2959.24,5,0,reconciliation_analysis\2023\bank_statement_pdfs\ACC0078328_202312_202402_3M_statement.pdf,CSV,reconciliation_analysis\2023\bank_statement_source_files\csv\ACC0078328_202312_202402_3M_statement.csv
