transaction_id,account_id,customer_id,loan_id,debit_order_id,installment_number,transaction_date,transaction_time,amount,debit_credit,status,failure_reason,description,immediate_payment,receiving_account,transaction_cost,ewallet_number,channel,loan_type,payment_type,is_recovery_attempt,source_system
TXNL202200000001,ACC0001282,IND19007129,LN2019010000002,LDO20220000001,45,2022-10-14,02:55:56,1592.74,Debit,Completed,,Loan Payment - LN2019010000002,False,,1.27,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000002,ACC0000071,IND19001466,LN2019010000009,LDO20220000002,45,2022-10-31,04:52:33,2024.12,Debit,Completed,,Loan Payment - LN2019010000009,False,,1.25,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000003,ACC0001490,IND19011784,LN2019010000010,LDO20220000003,45,2022-10-23,02:57:49,2454.22,Debit,Completed,,Loan Payment - LN2019010000010,False,,1.95,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000004,ACC0000278,IND19005139,LN2019010000015,LDO20220000004,45,2022-10-29,02:59:26,2472.86,Debit,Completed,,Loan Payment - LN2019010000015,False,,0.81,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000005,ACC0000597,IND19000749,LN2019010000017,LDO20220000001,45,2022-10-22,04:30:26,1458.14,Debit,Completed,,Loan Payment - LN2019010000017,False,,0.1,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000006,ACC0000731,IND19012784,LN2019010000018,LDO20220000002,45,2022-10-30,03:40:28,4603.72,Debit,Completed,,Loan Payment - LN2019010000018,False,,0.21,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000007,ACC0000999,IND19000704,LN2019010000021,LDO20220000005,45,2022-10-30,04:20:27,1106.27,Debit,Completed,,Loan Payment - LN2019010000021,False,,1.97,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000008,ACC0000362,IND19010400,LN2019010000034,LDO20220000003,45,2022-10-20,02:01:44,1664.42,Debit,Completed,,Loan Payment - LN2019010000034 - Late Fee,False,,0.01,,Automated,Home Loan,late_payment,False,loan_payment_generator
TXNL202200000009,ACC0000761,IND19003341,LN2019010000037,LDO20220000004,44,2022-10-10,04:47:20,1929.69,Debit,Completed,,Loan Payment - LN2019010000037,False,,1.36,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000010,ACC0000361,IND19010400,LN2019010000048,LDO20220000002,45,2022-10-30,02:26:25,990.52,Debit,Completed,,Loan Payment - LN2019010000048,False,,1.15,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202200000011,ACC0000305,IND19009608,LN2019010000064,LDO20220000006,45,2022-10-15,02:45:17,2723.86,Debit,Completed,,Loan Payment - LN2019010000064 - Late Fee,False,,1.56,,Automated,Personal Loan,late_payment,False,loan_payment_generator
TXNL202200000012,ACC0000093,IND19006568,LN2019010000071,LDO20220000005,45,2022-10-13,02:04:29,1850.78,Debit,Completed,,Loan Payment - LN2019010000071,False,,0.21,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000013,ACC0000412,IND19013952,LN2019010000075,LDO20220000007,45,2022-10-31,04:03:27,3629.72,Debit,Completed,,Loan Payment - LN2019010000075,False,,1.09,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000014,ACC0000227,IND19010979,LN2019010000078,LDO20220000008,45,2022-10-13,04:41:23,686.25,Debit,Completed,,Loan Payment - LN2019010000078,False,,1.62,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000015,ACC0001439,IND19009694,LN2019010000095,LDO20220000004,45,2022-10-18,02:29:31,1221.56,Debit,Completed,,Loan Payment - LN2019010000095,False,,1.0,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000016,ACC0000263,IND19010479,LN2019010000097,LDO20220000001,45,2022-10-14,02:34:48,5630.01,Debit,Completed,,Loan Payment - LN2019010000097,False,,0.78,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000017,ACC0000410,IND19006375,LN2019010000101,LDO20220000011,45,2022-10-22,04:45:29,907.14,Debit,Completed,,Loan Payment - LN2019010000101,False,,0.29,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000018,ACC0000187,IND19005404,LN2019010000103,LDO20220000012,45,2022-10-29,04:36:16,1397.88,Debit,Completed,,Loan Payment - LN2019010000103,False,,0.52,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000019,ACC0000901,IND19009242,LN2019010000104,LDO20220000013,45,2022-10-28,02:08:13,1714.01,Debit,Failed,insufficient_funds,Loan Payment - LN2019010000104 - Partial,False,,1.55,,Automated,Personal Loan,partial_payment,False,loan_payment_generator
TXNL202200000020,ACC0000365,IND19005374,LN2019010000112,LDO20220000014,45,2022-10-20,02:20:01,9497.71,Debit,Completed,,Loan Payment - LN2019010000112,False,,0.39,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000021,ACC0000066,IND19000708,LN2019010000114,LDO20220000015,45,2022-10-24,04:44:42,3062.01,Debit,Completed,,Loan Payment - LN2019010000114,False,,0.8,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000022,ACC0000041,IND19003405,LN2019010000118,LDO20220000016,45,2022-10-11,02:38:10,1317.23,Debit,Completed,,Loan Payment - LN2019010000118,False,,0.81,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000023,ACC0000146,IND19003418,LN2019010000122,LDO20220000017,44,2022-10-04,02:09:58,1173.8,Debit,Completed,,Loan Payment - LN2019010000122,False,,1.82,,Automated,Personal Loan,standard_payment,False,loan_payment_generator
TXNL202200000024,ACC0000812,IND19000596,LN2019010000123,LDO20220000018,44,2022-10-08,03:51:29,3065.36,Debit,Completed,,Loan Payment - LN2019010000123,False,,0.97,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000025,ACC0000726,IND19012497,LN2019010000124,LDO20220000019,45,2022-10-13,04:43:58,371.99,Debit,Completed,,Loan Payment - LN2019010000124,False,,1.56,,Automated,Home Loan,standard_payment,False,loan_payment_generator
TXNL202200000026,ACC0000959,IND19007081,LN2019010000129,LDO20220000020,45,2022-10-14,02:27:31,1082.28,Debit,Completed,,Loan Payment - LN2019010000129,False,,0.68,,Automated,Vehicle Loan,standard_payment,False,loan_payment_generator
TXNL202200000027,ACC0000642,IND19009914,LN2019010000142,LDO20220000022,45,2022-10-24,03:30:45,374.48,Debit,Failed,bank_timeout,Loan Payment - LN2019010000142 - Recovery,False,,1.41,,Automated,Vehicle Loan,recovery_payment,True,loan_payment_generator
