comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,is_complaint,complaint_category
COMM-202312-000001,ACC0020121,IND20002208,app_message,inbound,2023-12-24T12:50:01+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banks watch debit-order strain as households adjust spending' and wanted to check how it affects my account.,negative,True,service_delay
COMM-202312-000002,ACC0023444,IND21014150,social_media,inbound,2023/12/08 07:22:13,Complaint about service,The service delay is frustrating. I have followed up more than once and still do not have a proper answer.,neutral,False,
COMM-202312-000003,ACC0064584,COM23000502,email,inbound,2023-12-07 06:09:12,Account enquiry,Please assist with my banking enquiry.,neutral,False,
COMM-202312-000004,ACC0047631,IND22017432,email,inbound,2023-12-29 09:01:20,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,fraud_concern
COMM-202312-000005,ACC0035656,IND21011853,social_media,inbound,2023/12/28 06:21:10,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,neutral,False,
COMM-202312-000006,ACC0028632,IND21000018,phone_call,inbound,07/12/2023 14:00,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,negative,True,failed_transaction
COMM-202312-000007,ACC0072121,IND23006786,social_media,inbound,2023/12/05 14:41:25,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,staff_behavior
COMM-202312-000008,ACC0030021,COM21000312,app_message,outbound,2023-12-23T11:34:54+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000009,ACC0075323,IND23000686,phone_call,inbound,11/12/2023 08:53,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,neutral,False,
COMM-202312-000010,ACC0074062,IND23009963,email,inbound,2023-12-06 14:22:46,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,positive,False,
COMM-202312-000011,ACC0074138,IND23012443,sms,outbound,2023-12-06T06:18:16+02:00,Branch holiday hours,Please note adjusted branch hours this month. Digital channels remain available for balance checks and transfers.,neutral,False,
COMM-202312-000012,ACC0014042,IND19002071,app_message,inbound,2023-12-14T10:01:40+02:00,Balance check,Please confirm my available balance and whether any debit orders are still pending.,negative,True,service_delay
COMM-202312-000013,ACC0066378,IND23025518,sms,outbound,2023-12-20T18:53:17+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000014,ACC0031061,IND21013545,app_message,inbound,2023-12-16T18:41:43+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,True,incorrect_charge
COMM-202312-000015,ACC0037954,IND22003095,phone_call,inbound,16/12/2023 18:48,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Statement delays add noise to month-end finance controls' and wanted to check how it affects my account.,negative,True,failed_transaction
COMM-202312-000016,ACC0054950,IND22024139,sms,outbound,2023-12-28T18:09:30+02:00,Branch holiday hours,Please note adjusted branch hours this month. Digital channels remain available for balance checks and transfers.,neutral,False,
COMM-202312-000017,ACC0028361,IND21002950,branch_visit,inbound,26/12/2023 09:50,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,negative,True,fee_dispute
COMM-202312-000018,ACC0020253,IND20002366,social_media,inbound,2023/12/26 15:59:34,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Digital channels reshape banking workloads as customer growth continues' and wanted to check how it affects my account.,positive,False,
COMM-202312-000019,ACC0033622,IND21012011,app_message,inbound,2023-12-02T16:51:15+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,True,failed_transaction
COMM-202312-000020,ACC0027111,IND21013155,sms,inbound,2023-12-24T07:24:21+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",neutral,False,
COMM-202312-000021,ACC0076250,IND23016623,phone_call,inbound,08/12/2023 14:43,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,fraud_concern
COMM-202312-000022,ACC0039167,IND22017267,branch_visit,inbound,22/12/2023 13:50,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banking analytics agenda: five signals to watch this month' and wanted to check how it affects my account.,neutral,False,
COMM-202312-000023,ACC0006911,IND19015046,phone_call,inbound,15/12/2023 07:38,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,neutral,False,
COMM-202312-000024,ACC0026546,IND21004095,phone_call,inbound,25/12/2023 10:58,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Digital channels reshape banking workloads as customer growth continues' and wanted to check how it affects my account.,negative,True,service_delay
COMM-202312-000025,ACC0035142, IND21006196 ,sms,outbound,2023-12-29T17:59:53+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,negative,True,other
COMM-202312-000026,ACC0062666,IND23013835,sms,inbound,2023-12-14T13:58:36+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,failed_transaction
COMM-202312-000027,ACC0044066,IND22011147,social_media,inbound,2023/12/20 09:30:22,Kudos to branch staff,The branch team helped me quickly and explained the account options clearly. Please pass on my thanks.,neutral,False,
COMM-202312-000028,ACC0059124,IND23013982,social_media,inbound,2023/12/08 21:13:39,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,positive,False,
COMM-202312-000029,ACC0025977,IND21005130,branch_visit,inbound,23/12/2023 12:00,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,negative,True,statement_error
COMM-202312-000030,ACC0040633,IND22004208,email,inbound,2023-12-05 18:03:51,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,neutral,False,
COMM-202312-000031,ACC0071066,IND23003645,phone_call,inbound,18/12/2023 09:25,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,neutral,False,
COMM-202312-000032,ACC0066430,IND23015147,email,inbound,2023-12-31 11:31:11,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Operational resilience returns to the agenda after payment interruptions' and wanted to check how it affects my account.,negative,True,failed_transaction
COMM-202312-000033,ACC0041498,IND22013341,phone_call,inbound,03/12/2023 08:24,Home Loan rate increase question,"Eish, I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.",neutral,False,
COMM-202312-000034,ACC0058857,IND23015186,email,outbound,2023-12-08 12:12:06,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000035,ACC0037725,IND22006768,social_media,inbound,2023/12/08 20:25:11,Complaint about service,The service delay is frustrating. I have followed up more than once and still do not have a proper answer.,negative,True,fee_dispute
COMM-202312-000036,ACC0007072,IND19004306,app_message,outbound,2023-12-13T10:47:09+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000037,ACC0026345,IND21003172,social_media,inbound,2023/12/14 17:06:03,Kudos to branch staff,The branch team helped me quickly and explained the account options clearly. Please pass on my thanks.,negative,False,
COMM-202312-000038,ACC0009571,IND19008258,sms,outbound,2023-12-26T16:48:01+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,positive,False,
COMM-202312-000039,ACC0039035,COM22000269,phone_call,inbound,30/12/2023 07:44,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,positive,False,
COMM-202312-000040,ACC0065165,IND23003178,social_media,inbound,2023/12/06 11:34:22,Kudos to branch staff,The branch team helped me quickly and explained the account options clearly. Please pass on my thanks.,negative,False,
COMM-202312-000041,ACC0037827,IND22011442,sms,inbound,2023-12-12T18:05:13+02:00,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,negative,True,fee_dispute
COMM-202312-000042,ACC0038578,IND22014699,app_message,outbound,2023-12-14T10:21:56+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000043,ACC0067450,IND23017395,branch_visit,inbound,22/12/2023 14:05,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Operational resilience returns to the agenda after payment interruptions' and wanted to check how it affects my account.,neutral,False,
COMM-202312-000044,ACC0058249,IND23004269,phone_call,inbound,25/12/2023 11:33,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Operational resilience returns to the agenda after payment interruptions' and wanted to check how it affects my account.,neutral,False,
COMM-202312-000045,ACC0036824,IND21010053,app_message,inbound,2023-12-22T02:46:04+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banking analytics agenda: five signals to watch this month' and wanted to check how it affects my account.,negative,True,failed_transaction
COMM-202312-000046,ACC0045827,IND22018882,branch_visit,inbound,29/12/2023 13:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Retail banks sharpen arrears analytics as payment stress persists' and wanted to check how it affects my account.,negative,False,
COMM-202312-000047,ACC0046069,IND22006694,app_message,inbound,2023-12-28T13:57:04+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,True,failed_transaction
COMM-202312-000048,ACC0056347,IND22020342,phone_call,inbound,28/12/2023 07:27,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banking analytics agenda: five signals to watch this month' and wanted to check how it affects my account.,neutral,False,
COMM-202312-000049,ACC0014685,IND19002525,phone_call,inbound,13/12/2023 07:45,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,neutral,False,
COMM-202312-000050,ACC0054724,IND22009276,social_media,inbound,2023/12/26 09:54:29,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Conduct teams press for clearer evidence on fees and failed payments' and wanted to check how it affects my account.,negative,True,fee_dispute
COMM-202312-000051,ACC0048384,IND22014907,app_message,inbound,2023-12-18T12:53:59+02:00,Digital wallet setup help,I need help setting up the digital wallet and linking it to the right account. The app keeps asking me to try again later.,neutral,False,
COMM-202312-000052,ACC0052514,IND22014877,email,inbound,2023-12-20 14:05:58,Account enquiry,Please assist with my banking enquiry.,neutral,False,
COMM-202312-000053,ACC0039673,IND22011654,app_message,outbound,2023-12-29T16:48:43+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",positive,False,
COMM-202312-000054,ACC0045237,IND22013466,phone_call,inbound,12/12/2023 16:06,Branch appointment request,I would like to book time at the branch to sort out my account and get printed documents for my records.,negative,True,digital_issue
COMM-202312-000055,ACC0038836,IND22012527,branch_visit,inbound,15/12/2023 08:10,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,neutral,False,
COMM-202312-000056,ACC0039325,IND22019848,sms,inbound,2023-12-15T17:46:29+02:00,Suspicious transaction alert,There is activity on my account that I do not recognise. Please block the card if needed and tell me what evidence you require for the dispute.,positive,False,
COMM-202312-000057,ACC0028361,IND21002950,app_message,inbound,2023-12-14T03:18:08+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,digital_issue
COMM-202312-000058,ACC0049538,IND22008562,sms,inbound,2023-12-13T14:46:12+02:00,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,neutral,False,
COMM-202312-000059,ACC0055313,IND22009073,branch_visit,inbound,07/12/2023 11:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banks watch debit-order strain as households adjust spending' and wanted to check how it affects my account.,negative,True,service_delay
COMM-202312-000060,ACC0002623,IND19011260,app_message,inbound,2023-12-17T04:47:20+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,digital_issue
COMM-202312-000061,ACC0003973,IND19002029,app_message,inbound,2023-12-27T10:08:56+02:00,Digital wallet setup help,I need help setting up the digital wallet and linking it to the right account. The app keeps asking me to try again later.,negative,True,digital_issue
COMM-202312-000062,ACC0010910,IND19009481,app_message,outbound,2023-12-29T10:48:19+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000063,ACC0048847, IND22001791 ,email,inbound,2023-12-04 15:08:29,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,True,digital_issue
COMM-202312-000064,ACC0045042,IND22005961,app_message,inbound,2023-12-14T02:02:47+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,digital_issue
COMM-202312-000065,ACC0023394,IND21008786,social_media,inbound,2023/12/26 07:16:10,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,incorrect_charge
COMM-202312-000066,ACC0000770,IND19003379,app_message,outbound,2023-12-31T08:51:04+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000067,ACC0061523,IND23010939,sms,outbound,2023-12-25T05:07:16+02:00,Suspicious transaction alert,We detected activity that may require confirmation. Please reply or contact the bank if this transaction was not yours.,neutral,False,
COMM-202312-000068,ACC0058619,IND23011612,sms,inbound,2023-12-23T22:12:04+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",neutral,False,
COMM-202312-000069,ACC0044947,IND22010251,social_media,inbound,2023/12/21 12:40:54,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,fee_dispute
COMM-202312-000070,ACC0064050,IND23010139,social_media,inbound,2023/12/28 18:07:26,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,negative,True,digital_issue
COMM-202312-000071,ACC0071537,IND23012728,email,inbound,2023-12-16 06:35:25,Statement copy request,Please send me a copy of my latest statement and confirm the closing balance used for the month-end calculation.,negative,True,fraud_concern
COMM-202312-000072,ACC0010358,IND19012978,email,inbound,2023-12-13 19:25:22,Account enquiry,Please assist with my banking enquiry.,negative,False,
COMM-202312-000073,ACC0010617,IND19010181,email,inbound,2023-12-09 11:14:24,Suggestion for bank app,I have feedback on the app experience and would like the product team to review it.,neutral,False,
COMM-202312-000074,ACC0040959,IND22000187,sms,outbound,2023-12-30T09:20:02+02:00,Your loan repayment failed due to insufficient funds,Your scheduled loan repayment was not successful. Please fund your account or contact us to discuss payment options.,negative,True,statement_error
COMM-202312-000075,ACC0048822,IND22020517,phone_call,inbound,31/12/2023 18:45,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Digital channels reshape banking workloads as customer growth continues' and wanted to check how it affects my account.,neutral,False,
COMM-202312-000076,ACC0029850,IND21000384,email,outbound,2023-12-25 06:18:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000077,ACC0031874,IND21003905,app_message,inbound,2023-12-19T20:21:30+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,positive,False,
COMM-202312-000078,ACC0049621,IND22007074,sms,outbound,2023-12-23T07:57:40+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000079,ACC0020167,IND20002097,phone_call,inbound,16/12/2023 15:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Statement delays add noise to month-end finance controls' and wanted to check how it affects my account.,neutral,False,
COMM-202312-000080,ACC0008624,IND19014911,app_message,inbound,2023-12-26T19:50:14+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Digital channels reshape banking workloads as customer growth continues' and wanted to check how it affects my account.,negative,True,failed_transaction
COMM-202312-000081,ACC0059843,IND23003765,branch_visit,inbound,28/12/2023 12:00,Complaint about service,The service delay is frustrating. I have followed up more than once and still do not have a proper answer.,positive,False,
COMM-202312-000082,ACC0028797,IND21010810,phone_call,inbound,08/12/2023 16:39,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,failed_transaction
COMM-202312-000083,ACC0033998,IND21013144,phone_call,inbound,27/12/2023 17:44,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Digital channels reshape banking workloads as customer growth continues' and wanted to check how it affects my account.,neutral,False,
COMM-202312-000084,ACC0025142,IND21019436,branch_visit,inbound,29/12/2023 14:30,Cash deposit issue,I made a cash deposit but the amount is not showing correctly. Please investigate the branch or ATM record.,negative,True,fraud_concern
COMM-202312-000085,ACC0023655,IND21007433,app_message,inbound,2023-12-08T16:01:33+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,failed_transaction
COMM-202312-000086,ACC0059442,IND23008414,app_message,inbound,2023-12-25T15:01:51+02:00,App login problem,The app is not behaving properly and I cannot complete what should be a simple transaction. Please check whether there is an issue on my profile.,neutral,False,
COMM-202312-000087,ACC0060439,IND23005175,email,outbound,2023-12-19 20:16:08,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000088,ACC0008539,IND19011613,social_media,inbound,2023/12/10 14:00:46,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banks watch debit-order strain as households adjust spending' and wanted to check how it affects my account.,neutral,False,
COMM-202312-000089,ACC0011670,IND19007780,app_message,inbound,2023-12-21T19:37:32+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,failed_transaction
COMM-202312-000090,ACC0054590,IND22024785,sms,inbound,2023-12-17T15:35:11+02:00,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,digital_issue
