statement_transaction_id,account_id,statement_date,posted_date,statement_description,bank_reference,statement_amount,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date,source_transaction_id
BST-ACC0099019-000001,ACC0099019,2024-12-25 15:29:00,2024-12-25,Withholding Tax,FEE-202412-26515,-42.69,withholding_tax,True,bank_generated_non_transactional_entry,0,,
BST-ACC0099019-000002,ACC0099019,2025-01-25 13:31:00,2025-01-25,Interest Income,FEE-202501-89043,4.1,interest_income,True,bank_generated_non_transactional_entry,0,,
BST-ACC0099019-000003,ACC0099019,2025-02-25 09:48:00,2025-02-25,Withholding_Tax,FEE-202502-81623,-15.76,withholding_tax,True,bank_generated_non_transactional_entry,0,,
BST-ACC0099019-000004,ACC0099019,2025-02-25 09:48:00,2025-02-25,Service Fee,FEE-202502-21025,-77.56,service_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0099019-000005,ACC0099019,2025-03-25 08:24:00,2025-03-25,Bank Charge,FEE-202503-11516,-118.02,bank_charge,True,bank_generated_non_transactional_entry,0,,
BST-ACC0099019-000006,ACC0099019,2025-04-25 08:28:00,2025-04-25,Interest_Income,FEE-202504-47606,2.87,interest_income,True,bank_generated_non_transactional_entry,0,,
BST-ACC0099019-000007,ACC0099019,2025-04-25 08:28:00,2025-04-25,Service Fee,FEE-202504-40496,-156.01,service_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0099019-000008,ACC0099019,2025-05-25 17:37:00,2025-05-25,Cash Deposit Fee,FEE-202505-21780,-103.42,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0099019-000009,ACC0099019,2025-05-25 17:37:00,2025-05-25,Service Fee,FEE-202505-38243,-83.81,service_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0099019-000010,ACC0099019,2025-05-25 17:37:00,2025-05-25,Interest Income,FEE-202505-95264,1.6,interest_income,True,bank_generated_non_transactional_entry,0,,
