BANK STATEMENT|Keystone Retail Bank
ACCOUNT|060210280368372
CUSTOMER|IND21005471
PERIOD|2021-12-01|2022-02-28
OPENING_BALANCE|8639.45
CLOSING_BALANCE|-9342.78
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2021-12-01|202112529386708|Clothing via mobile_banking_app|-573.88|transactional|MTX202112000002491
2021-12-01|202112522995019|Transfer via mobile banking app|1510.67|transactional|MTX202112000002492
2021-12-01|202112655374865|Restaurants via mobile_banking_app|-118.53|transactional|MTX202112000002493
2021-12-02|202112374639784|Retail via contactless|-377.02|transactional|MTX202112000002494
2021-12-02|202112249836306|Entertainment via atm|-245.41|transactional|MTX202112000002495
2021-12-03|202112986965993|Airtime via pos|-44.29|transactional|MTX202112000002496
2021-12-03|202112163461375|Fuel via mobile banking app|-296.34|transactional|MTX202112000002497
2021-12-03|202112823817645|Retail via online banking|-512.36|transactional|MTX202112000002498
2021-12-03|202112759664059|Restaurants via pos|-145.41|transactional|MTX202112000002499
2021-12-03|202112514336102|Airtime via ussd|-63.46|transactional|MTX202112000002500
2021-12-04|202112102921548|Restaurants via mobile_banking_app|-346.00|transactional|MTX202112000002501
2021-12-07|202112235652650|Fuel via pos|-505.42|transactional|MTX202112000002505
2021-12-07|202112169569414|Retail via atm|-438.46|transactional|MTX202112000002502
2021-12-07|202112742222564|Alcohol via contactless|-138.15|transactional|MTX202112000002506
2021-12-07|202112194936544|Groceries via mobile banking app|-165.45|transactional|MTX202112000002503
2021-12-07|202112411464799|Airtime via ussd|-61.22|transactional|MTX202112000002507
2021-12-07|202112520361400|Utilities via ussd|-531.28|transactional|MTX202112000002504
2021-12-08|202112207979619|Groceries via contactless|-315.00|transactional|MTX202112000002508
2021-12-08|202112435451379|Transfer via mobile_banking_app|-551.67|transactional|MTX202112000002510
2021-12-08|202112681163313|Utilities via ussd|-764.15|transactional|MTX202112000002509
2021-12-09|202112168869401|Airtime via mobile banking app|-96.72|transactional|MTX202112000002511
2021-12-10|202112152291018|Alcohol via mobile banking app|-47.27|transactional|MTX202112000002512
2021-12-10|202112565043043|Groceries via contactless|-419.96|transactional|MTX202112000002513
