BANK STATEMENT|Keystone Retail Bank
ACCOUNT|195105280362184
CUSTOMER|IND21011302
PERIOD|2021-12-01|2022-05-31
OPENING_BALANCE|9783.27
CLOSING_BALANCE|9138.89
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2021-12-25|FEE-202112-82469|Service_Fee|-30.49|service_fee|
2022-01-25|FEE-202201-64899|Bank Charge|-30.48|bank_charge|
2022-01-25|FEE-202201-48465|Withholding_Tax|-20.89|withholding_tax|
2022-02-25|FEE-202202-90873|Service Fee|-79.17|service_fee|
2022-03-25|FEE-202203-88653|Bank_Charge|-108.70|bank_charge|
2022-03-25|FEE-202203-76153|Service_Fee|-155.41|service_fee|
2022-04-25|FEE-202204-53211|Service Fee|-74.23|service_fee|
2022-04-25|FEE-202204-90122|Bank Charge|-38.06|bank_charge|
2022-04-25|FEE-202204-75210|Interest Income|6.83|interest_income|
2022-05-25|FEE-202205-23850|Bank_Charge|-45.41|bank_charge|
2022-05-25|FEE-202205-22566|Service Fee|-68.37|service_fee|
