suggestion_id,account_id,customer_id,channel,timestamp,suggestion_text,category,status
SUG-202504-00001,ACC0100957,IND25017246,chatbot,2025-04-12T21:26:12+02:00,It would be useful to have a low-cost account for family remittances.,product_idea,submitted
SUG-202504-00002,ACC0048891,IND22003644,social_media,2025/04/30 06:16:08,Please send clearer notifications when account details change.,other,reviewed
SUG-202504-00003,ACC0103654,IND25002857,email,2025-04-25 21:45:03,Please show bank charges before the customer confirms a payment.,fees,submitted
SUG-202504-00004,ACC0060727,IND23009104,social_media,2025/04/01 11:51:56,Please send clearer notifications when account details change.,other,submitted
SUG-202504-00005,ACC0098833,IND24000861,app_message,2025-04-26T16:51:35+02:00,Please add better card freeze and unfreeze controls in the app.,digital_features,submitted
SUG-202504-00006,ACC0091762,IND24013882,branch_visit,05/04/2025 08:50,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,submitted
SUG-202504-00007,ACC0066234,IND23001774,branch_visit,09/04/2025 15:15,Please send clearer notifications when account details change.,other,reviewed
SUG-202504-00008,ACC0099304,IND24013866,social_media,2025/04/22 20:50:51,Please show bank charges before the customer confirms a payment.,fees,reviewed
SUG-202504-00009,ACC0037796,IND22003528,email,2025-04-12 07:46:32,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
SUG-202504-00010,ACC0098398,IND24019929,social_media,2025/04/16 06:49:05,Please add better card freeze and unfreeze controls in the app.,digital_features,reviewed
SUG-202504-00011,ACC0061794,IND23007964,whatsapp,08-Apr-2025 15:31,Please add a simple way to see pending debit orders before month end.,digital_features,reviewed
SUG-202504-00012,ACC0047319,IND22001027,branch_visit,02/04/2025 08:50,The branch queue system should send an SMS when it is nearly your turn.,branch_service,submitted
SUG-202504-00013,ACC0083955,IND24006763,phone_call,04/04/2025 09:33,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202504-00014,ACC0091995,IND24018273,email,2025-04-21 10:47:47,It would be useful to have a low-cost account for family remittances.,product_idea,submitted
SUG-202504-00015,ACC0022503,IND21011636,app_message,2025-04-10T07:13:49+02:00,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
