reconciliation_run_id,account_id,customer_id,bank_name,account_number,statement_timeframe_months,period_start,period_end,opening_balance,closing_balance,statement_transaction_count,ledger_transaction_count,statement_pdf_path,statement_source_format,statement_source_file_path
RECON-202012-ACC0021148-3M,ACC0021148,IND20003872,Keystone Retail Bank,255005030211482,3,2020-12-01,2021-02-28 23:59:59,13079.58,-45076.95,69,67,reconciliation_analysis\2020\bank_statement_pdfs\ACC0021148_202012_202102_3M_statement.pdf,CSV,reconciliation_analysis\2020\bank_statement_source_files\csv\ACC0021148_202012_202102_3M_statement.csv
RECON-202012-ACC0021149-6M,ACC0021149,IND20000159,Keystone Retail Bank,198765030211494,6,2020-12-01,2021-05-31 23:59:59,7179.01,-12001.11,73,63,reconciliation_analysis\2020\bank_statement_pdfs\ACC0021149_202012_202105_6M_statement.pdf,CSV,reconciliation_analysis\2020\bank_statement_source_files\csv\ACC0021149_202012_202105_6M_statement.csv
RECON-202012-ACC0021150-6M,ACC0021150,IND20002067,Keystone Retail Bank,184705010211504,6,2020-12-01,2021-05-31 23:59:59,9680.16,-7294.35,72,65,reconciliation_analysis\2020\bank_statement_pdfs\ACC0021150_202012_202105_6M_statement.pdf,CSV,reconciliation_analysis\2020\bank_statement_source_files\csv\ACC0021150_202012_202105_6M_statement.csv
RECON-202012-ACC0021152-6M,ACC0021152,IND20003670,Keystone Retail Bank,261550010211525,6,2020-12-01,2021-05-31 23:59:59,3252.75,-17197.44,83,73,reconciliation_analysis\2020\bank_statement_pdfs\ACC0021152_202012_202105_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2020\bank_statement_source_files\iso20022_camt053_xml\ACC0021152_202012_202105_6M_statement.xml
RECON-202012-ACC0021153-6M,ACC0021153,IND20001667,Keystone Retail Bank,231805020211538,6,2020-12-01,2021-05-31 23:59:59,9230.09,-8153.91,76,66,reconciliation_analysis\2020\bank_statement_pdfs\ACC0021153_202012_202105_6M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2020\bank_statement_source_files\iso20022_camt053_xml\ACC0021153_202012_202105_6M_statement.xml
RECON-202012-ACC0021155-6M,ACC0021155,IND20001074,Keystone Retail Bank,180305270211551,6,2020-12-01,2021-05-31 23:59:59,5068.43,-19062.97,67,57,reconciliation_analysis\2020\bank_statement_pdfs\ACC0021155_202012_202105_6M_statement.pdf,CSV,reconciliation_analysis\2020\bank_statement_source_files\csv\ACC0021155_202012_202105_6M_statement.csv
RECON-202012-ACC0021156-3M,ACC0021156,IND20001097,Keystone Retail Bank,255005020211563,3,2020-12-01,2021-02-28 23:59:59,6285.93,-1957.09,79,74,reconciliation_analysis\2020\bank_statement_pdfs\ACC0021156_202012_202102_3M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2020\bank_statement_source_files\iso20022_camt053_xml\ACC0021156_202012_202102_3M_statement.xml
RECON-202012-ACC0021157-6M,ACC0021157,IND20003154,Keystone Retail Bank,249205270211574,6,2020-12-01,2021-05-31 23:59:59,1081.02,-24254.15,79,67,reconciliation_analysis\2020\bank_statement_pdfs\ACC0021157_202012_202105_6M_statement.pdf,TXT,reconciliation_analysis\2020\bank_statement_source_files\txt\ACC0021157_202012_202105_6M_statement.txt
RECON-202012-ACC0021158-3M,ACC0021158,IND20000897,Keystone Retail Bank,255355020211588,3,2020-12-01,2021-02-28 23:59:59,13559.9,-1552.2,63,58,reconciliation_analysis\2020\bank_statement_pdfs\ACC0021158_202012_202102_3M_statement.pdf,CSV,reconciliation_analysis\2020\bank_statement_source_files\csv\ACC0021158_202012_202102_3M_statement.csv
RECON-202012-ACC0021159-3M,ACC0021159,IND20001402,Keystone Retail Bank,018505270211598,3,2020-12-01,2021-02-28 23:59:59,13010.28,-8606.12,90,86,reconciliation_analysis\2020\bank_statement_pdfs\ACC0021159_202012_202102_3M_statement.pdf,ISO20022_CAMT053_XML,reconciliation_analysis\2020\bank_statement_source_files\iso20022_camt053_xml\ACC0021159_202012_202102_3M_statement.xml
