statement_transaction_id,account_id,statement_date,posted_date,statement_description,bank_reference,statement_amount,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date,source_transaction_id
BST-ACC0036800-000001,ACC0036800,2021-12-01 05:53:05,2021-12-01,Entertainment via mobile_banking_app,202112356072147,-277.47,transactional,False,,0,,MTX202112000018726
BST-ACC0036800-000002,ACC0036800,2021-12-01 13:22:55,2021-12-01,Groceries via contactless,202112274496922,-289.7,transactional,False,,0,,MTX202112000018727
BST-ACC0036800-000003,ACC0036800,2021-12-03 05:06:43,2021-12-03,Utilities via mobile banking app,202112392661429,-2874.74,transactional,False,,0,,MTX202112000018728
BST-ACC0036800-000004,ACC0036800,2021-12-03 07:16:33,2021-12-03,Airtime via mobile banking app,202112722290969,-49.37,transactional,False,,0,,MTX202112000018729
BST-ACC0036800-000005,ACC0036800,2021-12-03 19:42:27,2021-12-03,Groceries via pos,202112197596514,-669.19,transactional,False,,0,,MTX202112000018730
BST-ACC0036800-000006,ACC0036800,2021-12-03 21:59:47,2021-12-03,Utilities via mobile banking app,202112384060002,-609.56,transactional,False,,0,,MTX202112000018731
BST-ACC0036800-000007,ACC0036800,2021-12-03 22:21:21,2021-12-03,Airtime via mobile banking app,202112399251979,-71.51,transactional,False,,0,,MTX202112000018732
BST-ACC0036800-000008,ACC0036800,2021-12-03 22:48:01,2021-12-03,Utilities via ussd,202112204829401,-952.78,transactional,False,,0,,MTX202112000018733
BST-ACC0036800-000009,ACC0036800,2021-12-04 18:04:43,2021-12-04,Alcohol via pos,202112689986269,-246.75,transactional,False,,0,,MTX202112000018734
BST-ACC0036800-000010,ACC0036800,2021-12-05 15:31:46,2021-12-05,Restaurants via pos,202112942068322,-115.81,transactional,False,,0,,MTX202112000018735
BST-ACC0036800-000011,ACC0036800,2021-12-06 07:17:08,2021-12-06,Fuel via pos,202112789740355,-543.69,transactional,False,,0,,MTX202112000018736
BST-ACC0036800-000012,ACC0036800,2021-12-06 07:19:07,2021-12-06,Airtime via contactless,202112690056283,-66.99,transactional,False,,0,,MTX202112000018737
BST-ACC0036800-000013,ACC0036800,2021-12-06 22:02:23,2021-12-06,Transfer via mobile banking app,202112207101772,-1008.91,transactional,False,,0,,MTX202112000018738
BST-ACC0036800-000014,ACC0036800,2021-12-07 07:21:25,2021-12-07,Airtime via mobile banking app,202112692261847,-73.81,transactional,False,,0,,MTX202112000018739
BST-ACC0036800-000015,ACC0036800,2021-12-07 11:08:56,2021-12-07,Airtime via mobile banking app,202112369919292,-109.14,transactional,False,,0,,MTX202112000018740
BST-ACC0036800-000016,ACC0036800,2021-12-08 07:08:01,2021-12-08,Airtime via pos,202112255086326,-54.45,transactional,False,,0,,MTX202112000018741
BST-ACC0036800-000017,ACC0036800,2021-12-09 10:27:28,2021-12-09,Airtime via mobile_banking_app,202112309600680,-10.0,transactional,False,,0,,MTX202112000018742
BST-ACC0036800-000018,ACC0036800,2021-12-09 18:22:24,2021-12-09,Alcohol via atm,202112621485919,-333.62,transactional,False,,0,,MTX202112000018743
BST-ACC0036800-000019,ACC0036800,2021-12-09 21:09:23,2021-12-09,Airtime via online banking,202112232994592,-75.9,transactional,False,,0,,MTX202112000018744
BST-ACC0036800-000020,ACC0036800,2021-12-10 07:06:44,2021-12-10,Fuel via pos,202112899675998,-578.82,transactional,False,,0,,MTX202112000018745
BST-ACC0036800-000021,ACC0036800,2021-12-10 07:44:48,2021-12-10,Transport via pos,202112508647604,-105.21,transactional,False,,0,,MTX202112000018746
BST-ACC0036800-000022,ACC0036800,2021-12-10 19:45:49,2021-12-10,Retail via mobile banking app,202112341172499,-538.43,transactional,False,,0,,MTX202112000018747
