BANK STATEMENT|Keystone Retail Bank
ACCOUNT|255005280999526
CUSTOMER|COM24000090
PERIOD|2024-12-01|2025-05-31
OPENING_BALANCE|10676.32
CLOSING_BALANCE|-31493.49
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2024-12-01|202412700861962|Alcohol via mobile_banking_app|-426.28|transactional|MTX202412000013074
2024-12-01|202412223196474|Restaurants via contactless|-383.03|transactional|MTX202412000013072
2024-12-01|202412925082943|Restaurants via pos|-389.20|transactional|MTX202412000013073
2024-12-02|202412773037234|Restaurants via mobile banking app|-533.28|transactional|MTX202412000013075
2024-12-03|202412277136681|Transfer via mobile banking app|2435.67|transactional|MTX202412000013076
2024-12-03|202412385700205|Utilities via online_banking|-1561.20|transactional|MTX202412000013077
2024-12-03|202412294239629|Airtime via online banking|-131.68|transactional|MTX202412000013078
2024-12-03|202412898505551|Transfer via mobile banking app|-2503.63|transactional|MTX202412000013079
2024-12-03|202412454836846|Airtime via online banking|-502.36|transactional|MTX202412000013080
2024-12-04|202412210212584|Airtime via online_banking|-170.32|transactional|MTX202412000013081
2024-12-04|202412507479733|Restaurants via pos|-681.64|transactional|MTX202412000013082
2024-12-04|202412800421284|Groceries via online banking|-618.02|transactional|MTX202412000013083
2024-12-05|202412888739002|Airtime via mobile banking app|-167.11|transactional|MTX202412000013084
2024-12-05|202412460913624|Alcohol via ewallet|-400.14|transactional|MTX202412000013085
2024-12-05|202412592695444|Utilities via online banking|-2145.83|transactional|MTX202412000013086
2024-12-06|202412569137690|Transport via contactless|-193.69|transactional|MTX202412000013087
2024-12-08|202412465033520|Groceries via mobile banking app|-1036.03|transactional|MTX202412000013088
2024-12-09|202412780063270|Retail via contactless|-385.70|transactional|MTX202412000013089
2024-12-10|202412492576398|Airtime via mobile_banking_app|-207.28|transactional|MTX202412000013090
2024-12-10|202412150492002|Entertainment via mobile banking app|-345.20|transactional|MTX202412000013091
2024-12-11|202412224211772|Groceries via pos|-629.43|transactional|MTX202412000013092
2024-12-11|202412756472260|Transfer via online banking|-1936.58|transactional|MTX202412000013093
2024-12-11|202412645165956|Groceries via mobile banking app|-750.42|transactional|MTX202412000013094
2024-12-11|202412513650359|Groceries via atm|-871.68|transactional|MTX202412000013095
2024-12-11|202412121530002|Transfer via mobile_banking_app|-2758.46|transactional|MTX202412000013096
2024-12-12|202412228548977|Restaurants via mobile banking app|-816.18|transactional|MTX202412000013098
2024-12-12|202412286725003|Utilities via mobile_banking_app|-1253.24|transactional|MTX202412000013099
2024-12-13|202412499866818|Entertainment via mobile banking app|-349.64|transactional|MTX202412000013100
2024-12-13|202412274991672|Transport via mobile banking app|-169.74|transactional|MTX202412000013101
2024-12-13|202412519860415|Airtime via mobile banking app|-144.99|transactional|MTX202412000013102
