BANK STATEMENT|Keystone Retail Bank
ACCOUNT|060110270996696
CUSTOMER|IND24014178
PERIOD|2024-12-01|2025-05-31
OPENING_BALANCE|14391.33
CLOSING_BALANCE|16039.07
DATE|REFERENCE|DESCRIPTION|AMOUNT|ENTRY_TYPE|SOURCE_TRANSACTION_ID
2024-12-25|FEE-202412-23609|Interest Income|0.95|interest_income|
2024-12-25|FEE-202412-84111|Cash Deposit Fee|-150.47|cash_deposit_fee|
2025-01-25|FEE-202501-36080|Interest Income|1.44|interest_income|
2025-01-25|FEE-202501-44970|Cash Deposit Fee|-76.80|cash_deposit_fee|
2025-01-25|FEE-202501-22410|Service_Fee|-134.85|service_fee|
2025-02-25|FEE-202502-86498|Interest_Income|0.17|interest_income|
2025-02-25|FEE-202502-63190|Withholding Tax|-34.37|withholding_tax|
2025-03-25|FEE-202503-47023|Bank Charge|-40.38|bank_charge|
2025-04-25|FEE-202504-95426|Bank_Charge|-104.46|bank_charge|
2025-04-25|FEE-202504-45049|Withholding Tax|-45.97|withholding_tax|
2025-05-15|UNALLOC-711556|Unallocated deposit|2376.07|bank_only_transaction|
2025-05-25|FEE-202505-65670|Service Fee|-147.51|service_fee|
2025-05-25|FEE-202505-73378|Interest_Income|3.92|interest_income|
