payment_id,case_id,account_id,customer_id,payment_date,amount,payment_method,was_promise_kept,arrears_after_payment
REC-202112-00001,COLL-202112-00020,ACC0029612,IND21007477,2021-12-26,356.15,cash_deposit,False,361.77
REC-202112-00002,COLL-202112-00007,ACC0021000,IND20000525,2021-12-22,649.56,card,True,2458.13
REC-202112-00003,COLL-202112-00036,ACC0032562,IND21009022,2021-12-02,260.14,eft,False,1103.29
REC-202112-00004,COLL-202112-00035,ACC0031462,IND21008739,2022-01-06,1562.95,eft,True,2317.98
REC-202112-00005,COLL-202112-00012,ACC0032941,IND21006285,2022-01-06,853.52,cash_deposit,True,923.81
REC-202112-00006,COLL-202112-00005,ACC0026455,IND21011112,2021-12-30,134.86,debit_order,False,922.19
REC-202112-00007,COLL-202112-00032,ACC0020886,IND20001867,2021-12-19,100.49,cash_deposit,False,317.68
REC-202112-00008,COLL-202112-00039,ACC0015944,IND19010149,2021-12-04,343.67,card,False,898.55
REC-202112-00009,COLL-202112-00024,ACC0027662,IND21016119,2021-12-15,688.84,eft,True,2495.46
REC-202112-00010,COLL-202112-00022,ACC0003374,COM19000173,2021-12-20,1767.52,card,False,7370.07
REC-202112-00011,COLL-202112-00021,ACC0024249,IND21008031,2021-12-27,1201.91,card,False,3118.04
REC-202112-00012,COLL-202112-00023,ACC0005095,IND19008638,2021-12-24,439.27,card,True,901.42
REC-202112-00013,COLL-202112-00011,ACC0025143,IND21014997,2021-12-01,121.91,cash_deposit,False,408.63
REC-202112-00014,COLL-202112-00002,ACC0017331,IND19000388,2021-12-29,112.44,eft,False,659.48
REC-202112-00015,COLL-202112-00001,ACC0015693,IND19003048,2021-12-29,170.25,debit_order,False,410.88
REC-202112-00016,COLL-202112-00033,ACC0012840,IND19003141,2021-12-18,1472.11,card,False,6530.61
