statement_transaction_id,account_id,statement_date,posted_date,statement_description,bank_reference,statement_amount,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date,source_transaction_id
BST-ACC0078727-000001,ACC0078727,2023-12-25 11:47:00,2023-12-25,Cash Deposit Fee,FEE-202312-34081,-18.49,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0078727-000002,ACC0078727,2023-12-25 11:47:00,2023-12-25,Interest_Income,FEE-202312-31334,0.21,interest_income,True,bank_generated_non_transactional_entry,0,,
BST-ACC0078727-000003,ACC0078727,2024-01-25 15:33:00,2024-01-25,Bank_Charge,FEE-202401-90797,-135.45,bank_charge,True,bank_generated_non_transactional_entry,0,,
BST-ACC0078727-000004,ACC0078727,2024-01-25 15:33:00,2024-01-25,Cash Deposit Fee,FEE-202401-69497,-114.78,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0078727-000005,ACC0078727,2024-02-25 13:07:00,2024-02-25,Cash_Deposit_Fee,FEE-202402-74917,-65.13,cash_deposit_fee,True,bank_generated_non_transactional_entry,0,,
BST-ACC0078727-000006,ACC0078727,2024-03-25 15:59:00,2024-03-25,Bank Charge,FEE-202403-99583,-35.06,bank_charge,True,bank_generated_non_transactional_entry,0,,
BST-ACC0078727-000007,ACC0078727,2024-03-25 15:59:00,2024-03-25,Withholding Tax,FEE-202403-55405,-61.68,withholding_tax,True,bank_generated_non_transactional_entry,0,,
BST-ACC0078727-000008,ACC0078727,2024-04-25 16:39:00,2024-04-25,Interest Income,FEE-202404-78677,0.52,interest_income,True,bank_generated_non_transactional_entry,0,,
BST-ACC0078727-000009,ACC0078727,2024-05-25 07:43:00,2024-05-25,Withholding_Tax,FEE-202405-79372,-9.54,withholding_tax,True,bank_generated_non_transactional_entry,0,,
BST-ACC0078727-000010,ACC0078727,2024-05-25 07:43:00,2024-05-25,Interest Income,FEE-202405-56854,3.8,interest_income,True,bank_generated_non_transactional_entry,0,,
