statement_transaction_id,account_id,statement_date,posted_date,statement_description,bank_reference,statement_amount,entry_type,reconciliation_required,reconciliation_reason,source_system_lag_days,expected_settlement_date,source_transaction_id
BST-ACC0078315-000001,ACC0078315,2023-12-01 07:48:47,2023-12-01,Transport via contactless,202312389693189,-44.0,transactional,False,,0,,MTX202312000027009
BST-ACC0078315-000002,ACC0078315,2023-12-01 22:43:15,2023-12-01,Airtime via online banking,202312255031403,-61.22,transactional,False,,0,,MTX202312000027010
BST-ACC0078315-000003,ACC0078315,2023-12-02 17:28:33,2023-12-02,Alcohol via pos,202312444473270,-191.46,transactional,False,,0,,MTX202312000027012
BST-ACC0078315-000004,ACC0078315,2023-12-03 10:28:37,2023-12-03,Restaurants via mobile banking app,202312972620440,-419.37,transactional,False,,0,,MTX202312000027013
BST-ACC0078315-000005,ACC0078315,2023-12-04 18:04:35,2023-12-04,Groceries via contactless,202312266252960,-408.03,transactional,False,,0,,MTX202312000027014
BST-ACC0078315-000006,ACC0078315,2023-12-05 05:52:19,2023-12-05,Transport via mobile_banking_app,202312323060260,-203.19,transactional,False,,0,,MTX202312000027015
BST-ACC0078315-000007,ACC0078315,2023-12-05 05:52:34,2023-12-05,Transfer via mobile_banking_app,202312835837631,-683.44,transactional,False,,0,,MTX202312000027016
BST-ACC0078315-000008,ACC0078315,2023-12-05 18:49:29,2023-12-05,Groceries via pos,202312583762559,-546.73,transactional,False,,0,,MTX202312000027017
BST-ACC0078315-000009,ACC0078315,2023-12-05 19:22:59,2023-12-05,Groceries via atm,202312688856392,-266.88,transactional,False,,0,,MTX202312000027018
BST-ACC0078315-000010,ACC0078315,2023-12-06 06:11:31,2023-12-06,Retail via mobile banking app,202312651879125,-507.46,transactional,False,,0,,MTX202312000027019
BST-ACC0078315-000011,ACC0078315,2023-12-06 10:33:09,2023-12-06,Airtime via mobile_banking_app,202312518573566,-103.05,transactional,False,,0,,MTX202312000027020
BST-ACC0078315-000012,ACC0078315,2023-12-06 21:40:09,2023-12-06,Airtime via mobile banking app,202312999084816,-92.42,transactional,False,,0,,MTX202312000027021
