suggestion_id,account_id,customer_id,channel,timestamp,suggestion_text,category,status
SUG-202205-00001,ACC0011299,IND19013786,email,2022-05-19 18:53:50,Please make statements easier to download for tax and rental applications.,other,submitted
SUG-202205-00002,ACC0023941,IND21005006,app_message,2022-05-19T18:05:28+02:00,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202205-00003,ACC0020969,IND20002563,phone_call,22/05/2022 11:05,Please allow customers to book branch appointments from the app.,branch_service,submitted
SUG-202205-00004,ACC0043874,IND22008700,phone_call,23/05/2022 10:01,Please send clearer notifications when account details change.,other,submitted
SUG-202205-00005,ACC0009554,IND19008376,email,2022-05-02 15:24:52,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202205-00006,ACC0025265,IND21001811,branch_visit,18/05/2022 12:20,Please add better card freeze and unfreeze controls in the app.,digital_features,implemented
SUG-202205-00007,ACC0029930,IND21000985,app_message,2022-05-02T15:01:38+02:00,Please make statements easier to download for tax and rental applications.,other,submitted
SUG-202205-00008,ACC0024979,IND21004673,app_message,2022-05-26T18:12:46+02:00,It would be useful to have a low-cost account for family remittances.,product_idea,submitted
SUG-202205-00009,ACC0005706,IND19001440,email,2022-05-02 21:16:23,Please add a simple way to see pending debit orders before month end.,digital_features,implemented
SUG-202205-00010,ACC0031326,COM21000139,phone_call,12/05/2022 13:02,Please offer a small savings pocket linked to loan repayments.,product_idea,submitted
SUG-202205-00011,ACC0029697,IND21001923,branch_visit,13/05/2022 09:20,Please add a simple way to see pending debit orders before month end.,digital_features,reviewed
SUG-202205-00012,ACC0042089,IND22001823,branch_visit,05/05/2022 13:30,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202205-00013,ACC0031303,COM21000153,app_message,2022-05-08T20:29:28+02:00,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,submitted
SUG-202205-00014,ACC0026310,IND21007906,email,2022-05-16 13:12:26,A monthly fee breakdown would make the statement easier to understand.,fees,implemented
SUG-202205-00015,ACC0002828,IND19012622,phone_call,30/05/2022 10:28,It would help if the app showed why a transfer is delayed instead of only saying pending.,digital_features,submitted
SUG-202205-00016,ACC0026010,IND21012812,app_message,2022-05-13T08:42:33+02:00,Please send clearer notifications when account details change.,other,submitted
SUG-202205-00017,ACC0021402,IND21002294,app_message,2022-05-05T22:48:14+02:00,A monthly fee breakdown would make the statement easier to understand.,fees,submitted
SUG-202205-00018,ACC0000134,IND19012457,phone_call,22/05/2022 18:48,Please add a simple way to see pending debit orders before month end.,digital_features,submitted
